"subjectID","trial","roi","meanPE","sdPE","run"
"FP001",4,"VS",0.99084,7.91725,"run2"
"FP001",5,"VS",-0.420891,8.4134,"run2"
"FP001",6,"VS",0.188164,10.7173,"run2"
"FP001",7,"VS",-0.587603,3.64626,"run2"
"FP001",8,"VS",0.671331,12.0501,"run2"
"FP001",9,"VS",0.132639,8.47891,"run2"
"FP001",10,"VS",-0.415987,5.73014,"run2"
"FP001",11,"VS",-0.138598,3.09945,"run2"
"FP001",12,"VS",0.737581,3.80854,"run2"
"FP001",13,"VS",-1.93014,8.287,"run2"
"FP001",14,"VS",1.74767,10.2362,"run2"
"FP001",15,"VS",-0.738105,5.15917,"run2"
"FP001",16,"VS",0.37783,6.29614,"run2"
"FP001",17,"VS",0.434747,5.91683,"run2"
"FP001",18,"VS",0.0961206,5.72653,"run2"
"FP001",19,"VS",-0.474115,9.72749,"run2"
"FP001",20,"VS",0.224836,8.00338,"run2"
"FP001",21,"VS",-0.572877,8.48084,"run2"
"FP001",22,"VS",0.957566,4.36031,"run2"
"FP001",23,"VS",0.885683,3.6818,"run2"
"FP001",24,"VS",1.25883,6.1857,"run2"
"FP001",25,"VS",0.606886,10.127,"run2"
"FP001",26,"VS",2.92993,13.3676,"run2"
"FP001",27,"VS",1.67898,18.5521,"run2"
"FP001",28,"VS",2.23976,12.2399,"run2"
"FP001",29,"VS",0.994699,10.8039,"run2"
"FP001",30,"VS",-1.02726,11.4937,"run2"
"FP001",31,"VS",-0.781482,6.09577,"run2"
"FP001",32,"VS",-2.38299,9.59914,"run2"
"FP001",33,"VS",-0.0514304,7.71608,"run2"
"FP001",34,"VS",-4.8655,16.279,"run2"
"FP001",35,"VS",-0.010282,0.185226,"run2"
"FP001",36,"VS",-42.8168,203.131,"run2"
"FP002",1,"pgACC",-0.710896,7.44951,"run1"
"FP002",2,"pgACC",-0.780673,7.81747,"run1"
"FP002",3,"pgACC",-0.6092,11.8042,"run1"
"FP002",4,"pgACC",-0.737305,7.88805,"run1"
"FP002",5,"pgACC",0.131782,10.8323,"run1"
